0	0
0.1	0.1
0.2	0.2
0.3	0.3
0.4	0.4
0.5	0.5
0.6	0.6
0.7	0.7
0.8	0.8
0.9	0.9
1	1
1.1	1.1
1.2	1.2
1.3	1.3
1.4	1.4
1.5	1.5
1.59511	1.6
1.6609	1.7
1.69247	1.8
1.72405	1.9
1.73607	2
1.75298	2.1
1.76012	2.2
1.77214	2.3
1.77928	2.4
1.78641	2.5
1.79844	2.6
1.80068	2.7
1.80782	2.8
1.81007	2.9
1.8172	3
1.81945	3.1
1.82659	3.2
1.82884	3.3
1.83597	3.4
1.83822	3.5
1.84536	3.6
1.84272	3.7
1.84985	3.8
1.8521	3.9
1.85435	4
1.86149	4.1
1.86373	4.2
1.86598	4.3
1.86823	4.4
1.87537	4.5
1.87273	4.6
1.87986	4.7
1.87722	4.8
1.88436	4.9
1.88661	5
