0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.495112	4.88759e-06
0.560899	3.91007e-05
0.602248	9.77517e-05
0.628935	0.000171065
0.640958	0.000259042
0.657869	0.000342131
0.665005	0.000434995
0.672141	0.000527859
0.679277	0.000620723
0.686413	0.000713587
0.688661	0.000811339
0.690909	0.000909091
0.698045	0.00100196
0.695406	0.00110459
0.702542	0.00119746
0.699902	0.0013001
0.707038	0.00139296
0.704399	0.0014956
0.711535	0.00158847
0.708895	0.0016911
0.711144	0.00178886
0.713392	0.00188661
0.71564	0.00198436
0.717889	0.00208211
0.715249	0.00218475
0.717498	0.0022825
0.719746	0.00238025
0.721994	0.00247801
0.719355	0.00258065
0.726491	0.00267351
0.723851	0.00277615
0.7261	0.0028739
0.72346	0.00297654
0.725709	0.00307429
0.727957	0.00317204
0.725318	0.00327468
0.727566	0.00337243
0.724927	0.00347507
0.727175	0.00357283
0.724536	0.00367546
0.726784	0.00377322
0.724145	0.00387586
0.731281	0.00396872
0.723754	0.00407625
0.726002	0.004174
0.733138	0.00426686
